Cost Center;Bruttó;Nettó;Áfa
311000000; 1401.37; 1334.64; 66.73
230000000; 1517.95; 1445.67; 72.28
110300000; 1401.37; 1334.64; 66.73
330000000; 1401.37; 1334.64; 66.73
110300000; 1401.37; 1334.64; 66.73
110400000; 1401.37; 1334.64; 66.73
110400000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
230000000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
330000000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
110400000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
140100000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
33000000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
230000000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
140100000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
480100000; 2191.35; 2087; 104.35
330000000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
420000000; 1517.95; 1445.67; 72.28
52000000; 1517.95; 1445.67; 72.28
311000000; 1517.95; 1445.67; 72.28
480100000; 2191.35; 2087; 104.35
480300000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
480300000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
140100000; 1517.95; 1445.67; 72.28
140100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
350000000; 1517.95; 1445.67; 72.28
113000000; 1517.95; 1445.67; 72.28
480050000; 1517.95; 1445.67; 72.28
480400000; 1517.95; 1445.67; 72.28
480400000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
140100000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
330000000; 1517.95; 1445.67; 72.28
480050000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
311000000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
140100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
350000000; 1517.95; 1445.67; 72.28
350000000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480050000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
311000000; 1517.95; 1445.67; 72.28
360000000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
311000000; 1517.95; 1445.67; 72.28
110100000; 97.93; 93.27; 4.66
113000000; 146.9; 139.9; 7
311000000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
113000000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
230000000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
480300000; 2191.35; 2087; 104.35
